0.9744 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.5115 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
18.4337 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe3674c2a20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe341cc74a8>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.4339 	EXP 	window1: mouseVisible = True
18.4339 	EXP 	window1: recordFrameIntervals = False
18.5992 	EXP 	window1: recordFrameIntervals = True
18.7833 	EXP 	window1: recordFrameIntervals = False
19.7659 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
19.7940 	EXP 	window1: mouseVisible = True
19.8120 	EXP 	window1: mouseVisible = True
19.8245 	EXP 	Imported simple_text/conditions.xlsx as conditions, 3 conditions, 1 params
19.8278 	EXP 	Created sequence: random, trialTypes=3, nReps=2, seed=None
19.8282 	EXP 	New trial (rep=0, index=0): {'word': 'stim2'}
19.8615 	EXP 	text: text = 'stim2'
20.3566 	EXP 	text: autoDraw = True
22.1660 	DATA 	Mouse: Left button down, pos=(450,231)
22.1690 	EXP 	New trial (rep=0, index=1): {'word': 'stim3'}
22.1823 	EXP 	text: autoDraw = False
22.1823 	EXP 	text: text = 'stim3'
22.2328 	DATA 	Mouse:  Left button up, pos=(450,231)
22.6657 	EXP 	text: autoDraw = True
23.2829 	DATA 	Mouse: Left button down, pos=(450,231)
23.2842 	EXP 	New trial (rep=0, index=2): {'word': 'stim1'}
23.2988 	EXP 	text: autoDraw = False
23.2988 	EXP 	text: text = 'stim1'
23.3660 	DATA 	Mouse:  Left button up, pos=(450,231)
23.7819 	EXP 	text: autoDraw = True
24.2492 	DATA 	Mouse: Left button down, pos=(450,231)
24.2506 	EXP 	New trial (rep=1, index=0): {'word': 'stim2'}
24.2653 	EXP 	text: autoDraw = False
24.2653 	EXP 	text: text = 'stim2'
24.3499 	DATA 	Mouse:  Left button up, pos=(450,231)
24.7489 	EXP 	text: autoDraw = True
25.2494 	DATA 	Mouse: Left button down, pos=(450,231)
25.2508 	EXP 	New trial (rep=1, index=1): {'word': 'stim1'}
25.2653 	EXP 	text: autoDraw = False
25.2653 	EXP 	text: text = 'stim1'
25.3497 	DATA 	Mouse:  Left button up, pos=(450,231)
25.7492 	EXP 	text: autoDraw = True
26.1500 	DATA 	Mouse: Left button down, pos=(450,231)
26.1513 	EXP 	New trial (rep=1, index=2): {'word': 'stim3'}
26.1651 	EXP 	text: autoDraw = False
26.1651 	EXP 	text: text = 'stim3'
26.2489 	DATA 	Mouse:  Left button up, pos=(450,231)
26.6491 	EXP 	text: autoDraw = True
27.0034 	DATA 	Mouse: Left button down, pos=(450,231)
27.0318 	EXP 	text: autoDraw = False
27.0835 	EXP 	window1: mouseVisible = True
