Timestamp,First Name,Last Name,Age,Sex,Current place of residence: City/State,Current place of residence: Country,Highest level of formal education,At what age did you start learning ENGLISH?,At what age did you start learning SPANISH?,At what age did you start to feel comfortable using ENGLISH?,At what age did you start to feel comfortable using SPANISH?,"How many years of classes (grammar, history, math, etc.) have you had in ENGLISH (primary school through university)?","How many years of classes (grammar, history, math, etc.) have you had in SPANISH (primary school through university)?",How many years have you spent in a country/region where ENGLISH is spoken? ,How many years have you spent in a country/region where SPANISH is spoken? ,How many years have you spent in a family where ENGLISH is spoken?     ,How many years have you spent in a family where SPANISH is spoken?     ,How many years have you spent in a work environment where ENGLISH is spoken?       ,How many years have you spent in a work environment where SPANISH is spoken?       ,"In an average week, what percentage of the time do you use ENGLISH with friends?  ","In an average week, what percentage of the time do you use SPANISH with friends?  ","In an average week, what percentage of the time do you use OTHER LANGUAGES with friends?  "," In an average week, what percentage of the time do you use ENGLISH with family?  "," In an average week, what percentage of the time do you use SPANISH with family?  "," In an average week, what percentage of the time do you use OTHER LANGUAGES with family?  ","In an average week, what percentage of the time do you use ENGLISH at school/work?  ","In an average week, what percentage of the time do you use SPANISH at school/work?  ","In an average week, what percentage of the time do you use OTHER LANGUAGES at school/work?  ","When you talk to yourself, how often do you talk to yourself in ENGLISH?","When you talk to yourself, how often do you talk to yourself in SPANISH?","When you talk to yourself, how often do you talk to yourself in OTHER LANGUAGES?","When you count, how often do you count in ENGLISH?","When you count, how often do you count in SPANISH?","When you count, how often do you count in OTHER LANGUAGES?",How well do you speak ENGLISH?,How well do you speak SPANISH?,How well do you understand ENGLISH?,How well do you understand SPANISH?,How well do you read ENGLISH?,How well do you read SPANISH?,How well do you write ENGLISH?,How well do you write SPANISH?,,Do you speak any languages in addition to English and Spanish?,What is your prolific ID?,Age,Sex,Current place of residence: City/State,Current place of residence: Country,Highest level of formal education,,I feel like myself when I speak ENGLISH.,I feel like myself when I speak SPANISH.,I identify with an ENGLISH-speaking culture.   ,I identify with a SPANISH-speaking culture.   ,It is important to me to use (or eventually use) ENGLISH like a native speaker.,It is important to me to use (or eventually use) SPANISH like a native speaker.,I want others to think I am a native speaker of ENGLISH.,I want others to think I am a native speaker of SPANISH.
3/9/2022 11:15:35,,,29,M,Charlotte,USA,Masters,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,6,,no,,,,,,,,,,,,,,,
3/9/2022 11:31:44,,,12,M,"Hamilton, NJ",United States,PhD / MD / JD,5,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,4,4,6,6,,yes,Example,29,M,HGAERSD,ddvc,High school,,,,,,,,,
3/9/2022 12:53:00,,,23,F,"Jeffersonville, IN",United States,"College (B.A, B.S.)",Since birth,10,For as long as I can remember.,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,6,5,,no,5ba9a99738803d00012729de,23,F,"Jeffersonville, IN",United States,"College (B.A, B.S.)",,,,,,,,,
3/9/2022 13:32:03,,,37,F,Austin/Texas ,US,"College (B.A, B.S.)",Since birth,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,4,6,4,,no,5b4b59fe3905740001273cfc,37,F,Austin/Texas,USA,"College (B.A, B.S.)",,,,,,,,,
3/9/2022 13:41:34,,,21,F,Springfield/Illinois,USA,Some graduate school,Since birth,4,For as long as I can remember.,Not yet comfortable.,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,3,6,4,6,5,,no,600dd1ea271cf06201979123,21,F,IL,USA,Some graduate school,,,,,,,,,
3/9/2022 13:45:00,,,28,M,Maryland,United States,"College (B.A, B.S.)",Since birth,14,For as long as I can remember.,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,4,6,5,,no,5ec7e8a712268326deae8d87,28,M,"Rising Sun, Maryland",United States,"College (B.A, B.S.)",,,,,,,,,
3/9/2022 13:47:31,,,45,M,new york,usa,Some college,Since birth,19,For as long as I can remember.,20+,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,6,6,5,,no,60b9af795939f976cb74232a,45,M,new york,united states,Some college,,,,,,,,,
3/9/2022 13:56:40,,,22,F,Salt Lake/UT,US,Some college,Since birth,11,4,16,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,5,6,4,,no,6112f31f34628c8bc50e3aa7,22,F,SLC/UT,United States,Some college,,,,,,,,,
3/9/2022 14:01:30,,,35,F,Wilmington NC,USA,Masters,Since birth,10,2,20+,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,3,6,2,6,2,,no,5fc84279fff9b01c16046778,35,F,Wilmington/NC,United States of America,Masters,,,,,,,,,
3/9/2022 14:03:07,,,37,F,"Oxford, MS",USA,Some graduate school,Since birth,8,For as long as I can remember.,8,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,6,4,6,3,,no,5edcfe625cd39c9efd5cc2ae,37,F,"Oxford, MS",USA,Some graduate school,,,,,,,,,
