key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect
space,18.5155,1,10.9859,4.452432726,4.6219,0,0,0,5,1,stim/paf_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,9.8821,4.739588759,2.9809,0,1,1,2,1,stim/fif_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,10.297,2.254514974,1.4455,0,2,2,0,1,stim/f_schwa_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,5,5.2781,3.559724935,2.2562,0,3,3,3,1,stim/fof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,5.463,3.539106445,1.1237,0,4,4,4,1,stim/p_schwa_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,5.4004,4.273177083,1.7242,0,5,5,7,1,stim/pof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,3.784,4.273177083,1.199,0,6,6,6,1,stim/piep_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,5.0466,3.682502713,1.3423,0,7,7,1,1,stim/faf_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,5.616,3.682502713,0.8455,1,0,8,3,1,stim/fof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,8.6323,3.682502713,1.3224,1,1,9,5,1,stim/paf_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,7,6.0457,3.682502713,1.0048,1,2,10,2,1,stim/fif_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,5.4391,1.869125163,1.2231,1,3,11,0,1,stim/f_schwa_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,5.0497,3.727703179,0.7588,1,4,12,1,1,stim/faf_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,2.8682,4.563382161,6.7373,1,5,13,6,1,stim/piep_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,10.7507,2.549124078,0.7287,1,6,14,4,1,stim/p_schwa_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,3.1326,3.225568576,1.3624,1,7,15,7,1,stim/pof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,2.5373,1.848520779,2.6436,2,0,16,4,1,stim/p_schwa_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,2.5568,4.628146159,1.0903,2,1,17,1,1,stim/faf_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,10.2696,3.226781413,1.6214,2,2,18,3,1,stim/fof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,3.2977,4.564856228,1.358,2,3,19,7,1,stim/pof_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,7,5.5015,3.595486382,1.004,2,4,20,2,1,stim/fif_g.wav,61089d250225d4a8180ae6b5,001,2022-03-09_17h40.43.890,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
