key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect
space,14.2429,2,11.2225,2.012822944,7.3555,0,0,0,3,1,stim/fof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,16.3016,3.022907986,3.0824,0,1,1,0,1,stim/f_schwa_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,5.4734,4.988384874,5.6662,0,2,2,2,1,stim/fif_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,7.6377,2.999529351,1.6152,0,3,3,6,1,stim/piep_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,3.4362,3.027266981,2.9165,0,4,4,7,1,stim/pof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,6,6.5326,2.007645535,2.874,0,5,5,4,1,stim/p_schwa_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,7.3274,2.000537652,1.2622,0,6,6,1,1,stim/faf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,5,6.6488,2.987787001,1.1369,0,7,7,5,1,stim/paf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,9.1248,2.022823622,2.8063,1,0,8,4,1,stim/p_schwa_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,6.381,3.00865587,1.6014,1,1,9,1,1,stim/faf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,5.1008,1.989642741,1.2923,1,2,10,7,1,stim/pof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,2.5989,3.074570313,1.5207,1,3,11,3,1,stim/fof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,2.6031,2.969219835,0.6543,1,4,12,5,1,stim/paf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,6,6.08,3.004875488,2.1432,1,5,13,0,1,stim/f_schwa_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,5.6551,3.99355306,1.2183,1,6,14,6,1,stim/piep_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,3,2.2562,4.058428006,1.1221,1,7,15,2,1,stim/fif_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,4.0552,1.987951389,1.7426,2,0,16,5,1,stim/paf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,1,8.7222,2.967748752,1.0588,2,1,17,0,1,stim/f_schwa_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,3.1609,3.035818956,1.1365,2,2,18,3,1,stim/fof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,1.5868,3.033596734,0.639,2,3,19,7,1,stim/pof_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
,,2,6.0839,2.018810764,1.0986,2,4,20,1,1,stim/faf_g.wav,61047937db4de7f14948ef08,001,2022-03-09_13h40.46.035,vct_new,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,
